,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,0,1,2,store_name
0,"Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland",Volg,ChIJoetcG74HkEcR5_9mPkmNtSI,4.4,47.0,47.26797270000001,8.4862223,True,,Allmendstrasse 5, 8914 Aeugst am Albis, Switzerland,volg
3,"Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland",migrolino Affoltern am Albis,ChIJURZXD2oGkEcRtXYXRHI1aFc,4.1,67.0,47.2746869,8.445784699999999,True,,Obfelderstrasse 1, 8910 Affoltern am Albis, Switzerland,migro
4,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Supermarkt Affoltern am Albis,ChIJk6WFSkcGkEcRwsvlTASqby8,4.1,1179.0,47.2738709,8.445676299999999,True,,Büelstrasse 15, 8910 Affoltern am Albis, Switzerland,coop
5,"Centralweg 3, 8910 Affoltern am Albis, Switzerland",Lidl Schweiz,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,4.1,292.0,47.2780069,8.4530301,True,,Centralweg 3, 8910 Affoltern am Albis, Switzerland,lidl
6,"Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland",Migros Supermarkt,ChIJiUOy2zkGkEcRy22nDwkqAks,4.2,578.0,47.2777942,8.453773,True,,Oberdorfstrasse 4, 8910 Affoltern am Albis, Switzerland,migro
8,"Industriestrasse 5, 8910 Affoltern am Albis, Switzerland",ALDI SUISSE,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,4.1,292.0,47.2727245,8.4470147,True,,Industriestrasse 5, 8910 Affoltern am Albis, Switzerland,aldi
12,"Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland",Denner Discount,ChIJUaO3CTcGkEcRvmRzl8dy-Pw,4.0,202.0,47.2771601,8.4548399,True,,Jonentalstrasse 1, 8910 Affoltern am Albis, Switzerland,denner
15,"Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland",Denner Discount,ChIJbVjFjJsLkEcRmmja4zZ_CA4,4.2,161.0,47.2761317,8.4502698,True,,Zürichstrasse 51, 8910 Affoltern am Albis, Switzerland,denner
18,"Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland",Volg Zwillikon,ChIJh25MxRoGkEcRUzpjW-_TMu4,4.3,58.0,47.28744409999999,8.4315571,True,,Ottenbacherstrasse 81, 8909 Affoltern am Albis, Switzerland,volg
19,"Höflistrasse 7, 8135 Langnau am Albis, Switzerland",Coop Supermarkt Langnau am Albis,ChIJ5XqpauCnmkcRSu7SHa5XsOU,4.2,200.0,47.2892437,8.5397724,True,,Höflistrasse 7, 8135 Langnau am Albis, Switzerland,coop
20,"Im Wängli 6, 8910 Affoltern am Albis, Switzerland",Coop Pronto Affoltern am Albis,ChIJ8XTvszoGkEcR_9pLF7bYgxU,4.2,177.0,47.2840263,8.4534833,True,,Im Wängli 6, 8910 Affoltern am Albis, Switzerland,coop
21,"Büelstrasse 15, 8910 Affoltern am Albis, Switzerland",Coop Kiosk,ChIJKwXhooIHkEcR4byb-Oi46Yo,5.0,1.0,47.2739173,8.4458267,,True,Büelstrasse 15, 8910 Affoltern am Albis, Switzerland,coop
23,"Albisstrasse 19, 8915 Hausen am Albis, Switzerland",Volg,ChIJoQG5QLWpmkcR5ScLJvwiw3w,4.4,167.0,47.2482652,8.530597300000002,True,,Albisstrasse 19, 8915 Hausen am Albis, Switzerland,volg
24,"Zugerstrasse 2, 6340 Hausen am Albis, Switzerland",migrolino Sihlbrugg,ChIJpUna3ESpmkcR3AAad0Rvfpc,4.3,49.0,47.21689569999999,8.5762232,True,,Zugerstrasse 2, 6340 Hausen am Albis, Switzerland,migro
27,"Albisstrasse 8, 8926 Kappel am Albis, Switzerland",Denner Partner,ChIJYzUJiJWpmkcRt4ER1Gr6cuY,4.5,177.0,47.2297737,8.5272385,True,,Albisstrasse 8, 8926 Kappel am Albis, Switzerland,denner
28,"Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland",SPAR Supermarkt Mettmenstetten,ChIJwc3iWeEHkEcRMXI-ZNZOjaA,4.2,208.0,47.2437599,8.4616419,True,,Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland,spar
29,"Albisstrasse 3, 8932 Mettmenstetten, Switzerland",Volg Mettmenstetten,ChIJSVZVLhsHkEcR4iiFe_SIXgE,4.3,115.0,47.24395149999999,8.463845,True,,Albisstrasse 3, 8932 Mettmenstetten, Switzerland,volg
31,"Zwillikerstrasse 4, 8908 Hedingen, Switzerland",Volg & post office,ChIJRd8FZ58IkEcRrWQ9rqwsy4E,4.0,86.0,47.2983714,8.4477121,True,,Zwillikerstrasse 4, 8908 Hedingen, Switzerland,volg
32,"Dorfstrasse 15, 8906 Bonstetten, Switzerland",SPAR Supermarkt Bonstetten,ChIJAVeve_MIkEcRNMxmqY7Oeqg,4.1,128.0,47.3149329,8.4696844,True,,Dorfstrasse 15, 8906 Bonstetten, Switzerland,spar
35,"Im Heumoos 25, 8906 Bonstetten, Switzerland",Coop Supermarkt Bonstetten,ChIJdQ156voIkEcRWMowxAxGMpM,4.2,321.0,47.3242618,8.4687602,True,,Im Heumoos 25, 8906 Bonstetten, Switzerland,coop
37,"Schachenstrasse 115, 8906 Bonstetten, Switzerland",Migros Partner,ChIJH9iPzvsIkEcRGKrRIuBujB8,4.4,124.0,47.3253193,8.4725152,True,,Schachenstrasse 115, 8906 Bonstetten, Switzerland,migro
38,"Staldenstrasse 3, 8905 Arni, Switzerland",Volg,ChIJL-nXqjcPkEcRL3CjpP7bp4Q,4.4,53.0,47.3188896,8.4198875,True,,Staldenstrasse 3, 8905 Arni, Switzerland,volg
